PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	function	gene
<\ -2.46131 ≥\ -2.46131	<\ -0.323711 ≥\ -0.323711	<\ 0.125754 ≥\ 0.125754	<\ 0.0172426 ≥\ 0.0172426	<\ 0.116722 ≥\ 0.116722	<\ -0.0670098 ≥\ -0.0670098	<\ -0.0921005 ≥\ -0.0921005	<\ -0.0103348 ≥\ -0.0103348	<\ -0.103436 ≥\ -0.103436	<\ -0.0742138 ≥\ -0.0742138	<\ 0.0567379 ≥\ 0.0567379	<\ 0.0512376 ≥\ 0.0512376	<\ -0.128749 ≥\ -0.128749	<\ -0.0386652 ≥\ -0.0386652	<\ -0.0530638 ≥\ -0.0530638	<\ -0.067954 ≥\ -0.067954	<\ -0.0273938 ≥\ -0.0273938	<\ 0.0347436 ≥\ 0.0347436	<\ -0.0444716 ≥\ -0.0444716	<\ 0.0342379 ≥\ 0.0342379	<\ 0.0432133 ≥\ 0.0432133	<\ 0.0525043 ≥\ 0.0525043	<\ 0.0549996 ≥\ 0.0549996	<\ -0.0669247 ≥\ -0.0669247	<\ 0.0027569 ≥\ 0.0027569	Proteas Resp Ribo	string
																									class	meta
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Proteas	YGR270W
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YIL075C
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YDL007W
≥ -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Proteas	YER094C
≥ -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Proteas	YFR004W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YDR427W
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Proteas	YKL145W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Proteas	YGL048C
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Proteas	YFR050C
